R:A::C:P,0 1,2 5 6,3,4
0 1,0.29554655870445345,0.19838056680161945,0.06477732793522267,0.0728744939271255
2 5 6,0.07692307692307693,0.1214574898785425,0.05263157894736842,0.024291497975708502
3,0.004048582995951417,0.024291497975708502,0.016194331983805668,0.004048582995951417
4,0.004048582995951417,0.012145748987854251,0.008097165991902834,0.020242914979757085
