R:A::C:P,0 1,2 5 6,3,4
0 1,0.776595744680851,0.5568181818181818,0.45714285714285713,0.6
2 5 6,0.20212765957446807,0.3409090909090909,0.37142857142857144,0.2
3,0.010638297872340425,0.06818181818181818,0.11428571428571428,0.03333333333333333
4,0.010638297872340425,0.03409090909090909,0.05714285714285714,0.16666666666666666
