R:A::C:P,0 1,2,3 4 5,6
0 1,0.6944444444444444,0.5319148936170213,0.47368421052631576,0.28888888888888886
2,0.1712962962962963,0.2553191489361702,0.23391812865497075,0.2222222222222222
3 4 5,0.08796296296296297,0.1702127659574468,0.2046783625730994,0.3111111111111111
6,0.046296296296296294,0.0425531914893617,0.08771929824561403,0.17777777777777778
