R:A::C:P,0 2,1 4,3 5 6
0 2,0.1700404858299595,0.09716599190283401,0.1214574898785425
1 4,0.23481781376518218,0.12955465587044535,0.1417004048582996
3 5 6,0.03643724696356275,0.012145748987854251,0.05668016194331984
