R:A::C:P,0 3 5,1 2 6,4
0 3 5,0.5555555555555556,0.31313131313131315,0.13131313131313133
1 2 6,0.3688212927756654,0.49049429657794674,0.14068441064638784
4,0.21428571428571427,0.2857142857142857,0.5
