R:A::C:P,0 4,1 6,2,3,5
0 4,0.6037735849056604,0.16981132075471697,0.11320754716981132,0.09433962264150944,0.018867924528301886
1 6,0.39166666666666666,0.225,0.18333333333333332,0.13333333333333333,0.06666666666666667
2,0.24074074074074073,0.3333333333333333,0.18518518518518517,0.14814814814814814,0.09259259259259259
3,0.08333333333333333,0.16666666666666666,0.25,0.3333333333333333,0.16666666666666666
5,0.25,0.125,0.375,0.25,0.0
