R:A::C:P,0 1 2,3 5,4,6
0 1 2,0.7480719794344473,0.6142131979695431,0.5660377358490566,0.5955056179775281
3 5,0.10282776349614396,0.18274111675126903,0.14150943396226415,0.1797752808988764
4,0.043701799485861184,0.06091370558375635,0.0660377358490566,0.033707865168539325
6,0.10539845758354756,0.14213197969543148,0.22641509433962265,0.19101123595505617
