R:A::C:P,0,1,2,3,4,5,6,7
0,20,8,4,3,7,5,5,8
1,39,27,21,17,21,4,24,13
2,9,16,13,8,11,6,16,2
3,1,1,6,3,5,4,2,0
4,2,0,2,1,7,0,2,0
5,3,0,2,4,1,3,3,1
6,1,1,3,1,5,3,1,1
7,1,2,0,0,0,0,0,2
