R:A::C:P,0,1,2,3,4 5 6
0,0.022988505747126436,0.013649425287356323,0.005028735632183908,0.0021551724137931034,0.009339080459770116
1,0.06609195402298851,0.07255747126436782,0.028017241379310345,0.02442528735632184,0.08261494252873564
2,0.028017241379310345,0.035919540229885055,0.029454022988505746,0.028017241379310345,0.07614942528735633
3,0.01221264367816092,0.007902298850574713,0.010775862068965518,0.010775862068965518,0.031609195402298854
4 5 6,0.05316091954022988,0.03807471264367816,0.04741379310344827,0.0625,0.20114942528735633
