R:A::C:P,0,1,2,3,4,5,p
0,0.12195121951219512,0.06097560975609756,0.04878048780487805,0.0,0.0,0.0,0.0
1,0.12195121951219512,0.17073170731707318,0.12195121951219512,0.0,0.0,0.012195121951219513,0.012195121951219513
2,0.036585365853658534,0.0975609756097561,0.08536585365853659,0.012195121951219513,0.0,0.0,0.0
3,0.0,0.0,0.024390243902439025,0.012195121951219513,0.0,0.0,0.0
4,0.0,0.0,0.012195121951219513,0.012195121951219513,0.0,0.0,0.0
5,0.0,0.012195121951219513,0.0,0.0,0.0,0.0,0.0
p,0.0,0.012195121951219513,0.012195121951219513,0.0,0.0,0.0,0.0
