R:A::C:P,0 1,2,3 5 6,4
0 1,0.1752873563218391,0.033045977011494254,0.07830459770114942,0.040229885057471264
2,0.0639367816091954,0.029454022988505746,0.07974137931034483,0.02442528735632184
3 5 6,0.10201149425287356,0.04669540229885057,0.21408045977011494,0.0603448275862069
4,0.009339080459770116,0.011494252873563218,0.020114942528735632,0.011494252873563218
