                               Overall Accuracy:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                   01-2-3-4-56   45.28%     33.37%     27.40%     14.71%  
                   0-12-3-4-56   40.25%     35.22%     28.00%     15.06%  
                   0-13-2-4-56   38.99%     34.90%     30.58%     15.07%  
                   0-1-23-4-56   38.99%     37.98%     32.28%     19.45%  
                   04-1-2-3-56   35.85%     32.23%     27.75%     15.07%  
                   0-1-256-3-4   35.22%     37.14%     31.00%     18.36%  
                   02-1-3-4-56   34.59%     31.75%     25.19%     10.93%  
                   0-14-2-3-56   34.59%     30.48%     27.07%     12.00%  
                   0-156-2-3-4   33.96%     35.02%     29.11%     14.89%  
                   056-1-2-3-4   33.33%     34.87%     28.56%     15.63%  
                   0-1-2-34-56   33.33%     35.75%     29.23%     16.84%  
                   03-1-2-4-56   32.08%     31.75%     26.69%     12.18%  
                   0-1-24-3-56   32.08%     30.25%     26.40%     12.26%  
                   0-1-2-356-4   32.08%     35.83%     29.67%     16.79%  
                   0-1-2-3-456   30.82%     31.43%     27.19%     13.81%  


                               Average Accuracy:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                   0-1-23-4-56   38.99%     37.98%     32.28%     19.45%  
                   0-1-256-3-4   35.22%     37.14%     31.00%     18.36%  
                   0-1-2-356-4   32.08%     35.83%     29.67%     16.79%  
                   0-1-2-34-56   33.33%     35.75%     29.23%     16.84%  
                   0-12-3-4-56   40.25%     35.22%     28.00%     15.06%  
                   0-156-2-3-4   33.96%     35.02%     29.11%     14.89%  
                   0-13-2-4-56   38.99%     34.90%     30.58%     15.07%  
                   056-1-2-3-4   33.33%     34.87%     28.56%     15.63%  
                   01-2-3-4-56   45.28%     33.37%     27.40%     14.71%  
                   04-1-2-3-56   35.85%     32.23%     27.75%     15.07%  
                   03-1-2-4-56   32.08%     31.75%     26.69%     12.18%  
                   02-1-3-4-56   34.59%     31.75%     25.19%     10.93%  
                   0-1-2-3-456   30.82%     31.43%     27.19%     13.81%  
                   0-14-2-3-56   34.59%     30.48%     27.07%     12.00%  
                   0-1-24-3-56   32.08%     30.25%     26.40%     12.26%  


                               Average F1 Score:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                   0-1-23-4-56   38.99%     37.98%     32.28%     19.45%  
                   0-1-256-3-4   35.22%     37.14%     31.00%     18.36%  
                   0-13-2-4-56   38.99%     34.90%     30.58%     15.07%  
                   0-1-2-356-4   32.08%     35.83%     29.67%     16.79%  
                   0-1-2-34-56   33.33%     35.75%     29.23%     16.84%  
                   0-156-2-3-4   33.96%     35.02%     29.11%     14.89%  
                   056-1-2-3-4   33.33%     34.87%     28.56%     15.63%  
                   0-12-3-4-56   40.25%     35.22%     28.00%     15.06%  
                   04-1-2-3-56   35.85%     32.23%     27.75%     15.07%  
                   01-2-3-4-56   45.28%     33.37%     27.40%     14.71%  
                   0-1-2-3-456   30.82%     31.43%     27.19%     13.81%  
                   0-14-2-3-56   34.59%     30.48%     27.07%     12.00%  
                   03-1-2-4-56   32.08%     31.75%     26.69%     12.18%  
                   0-1-24-3-56   32.08%     30.25%     26.40%     12.26%  
                   02-1-3-4-56   34.59%     31.75%     25.19%     10.93%  


                   Average Matthews Correlation Coefficient:                    

                      Grouping  Overall    Average    F1 Score     MCC    
                   0-1-23-4-56   38.99%     37.98%     32.28%     19.45%  
                   0-1-256-3-4   35.22%     37.14%     31.00%     18.36%  
                   0-1-2-34-56   33.33%     35.75%     29.23%     16.84%  
                   0-1-2-356-4   32.08%     35.83%     29.67%     16.79%  
                   056-1-2-3-4   33.33%     34.87%     28.56%     15.63%  
                   0-13-2-4-56   38.99%     34.90%     30.58%     15.07%  
                   04-1-2-3-56   35.85%     32.23%     27.75%     15.07%  
                   0-12-3-4-56   40.25%     35.22%     28.00%     15.06%  
                   0-156-2-3-4   33.96%     35.02%     29.11%     14.89%  
                   01-2-3-4-56   45.28%     33.37%     27.40%     14.71%  
                   0-1-2-3-456   30.82%     31.43%     27.19%     13.81%  
                   0-1-24-3-56   32.08%     30.25%     26.40%     12.26%  
                   03-1-2-4-56   32.08%     31.75%     26.69%     12.18%  
                   0-14-2-3-56   34.59%     30.48%     27.07%     12.00%  
                   02-1-3-4-56   34.59%     31.75%     25.19%     10.93%  
