R:A::C:P,0,1 2,3 4 5,6
0,0.48148148148148145,0.2962962962962963,0.2222222222222222,0.0
1 2,0.20930232558139536,0.5116279069767442,0.27906976744186046,0.0
3 4 5,0.16666666666666666,0.25,0.4166666666666667,0.16666666666666666
6,0.0,0.0,1.0,0.0
