R:A::C:P,0 3 6,1 4 5,2
0 3 6,0.41201716738197425,0.4721030042918455,0.11587982832618025
1 4 5,0.43617021276595747,0.43351063829787234,0.13031914893617022
2,0.3488372093023256,0.47674418604651164,0.1744186046511628
