R:A::C:P,0,1 6,2,3 5,4
0,0.5,0.19047619047619047,0.09523809523809523,0.09523809523809523,0.11904761904761904
1 6,0.2833333333333333,0.225,0.18333333333333332,0.2,0.10833333333333334
2,0.12962962962962962,0.3333333333333333,0.18518518518518517,0.24074074074074073,0.1111111111111111
3 5,0.1,0.15,0.3,0.4,0.05
4,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.18181818181818182,0.45454545454545453
