                               Overall Accuracy:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                    0126-3-4-5   55.06%     30.08%     27.35%     5.81%   
                    0123-4-5-6   53.39%     30.18%     28.45%     7.38%   
                    0125-3-4-6   53.27%     29.30%     27.64%     5.79%   
                    0124-3-5-6   52.88%     30.25%     28.85%     6.73%   
                    012-3-46-5   46.48%     32.18%     30.21%     9.45%   
                    012-3-4-56   45.97%     30.63%     28.70%     7.95%   
                    012-36-4-5   45.71%     30.95%     28.94%     8.16%   
                    012-3-45-6   45.20%     31.60%     29.21%     8.79%   
                    012-35-4-6   44.94%     30.62%     28.53%     7.98%   
                    012-34-5-6   44.30%     30.29%     28.45%     7.69%   


                               Average Accuracy:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                    012-3-46-5   46.48%     32.18%     30.21%     9.45%   
                    012-3-45-6   45.20%     31.60%     29.21%     8.79%   
                    012-36-4-5   45.71%     30.95%     28.94%     8.16%   
                    012-3-4-56   45.97%     30.63%     28.70%     7.95%   
                    012-35-4-6   44.94%     30.62%     28.53%     7.98%   
                    012-34-5-6   44.30%     30.29%     28.45%     7.69%   
                    0124-3-5-6   52.88%     30.25%     28.85%     6.73%   
                    0123-4-5-6   53.39%     30.18%     28.45%     7.38%   
                    0126-3-4-5   55.06%     30.08%     27.35%     5.81%   
                    0125-3-4-6   53.27%     29.30%     27.64%     5.79%   


                               Average F1 Score:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                    012-3-46-5   46.48%     32.18%     30.21%     9.45%   
                    012-3-45-6   45.20%     31.60%     29.21%     8.79%   
                    012-36-4-5   45.71%     30.95%     28.94%     8.16%   
                    0124-3-5-6   52.88%     30.25%     28.85%     6.73%   
                    012-3-4-56   45.97%     30.63%     28.70%     7.95%   
                    012-35-4-6   44.94%     30.62%     28.53%     7.98%   
                    0123-4-5-6   53.39%     30.18%     28.45%     7.38%   
                    012-34-5-6   44.30%     30.29%     28.45%     7.69%   
                    0125-3-4-6   53.27%     29.30%     27.64%     5.79%   
                    0126-3-4-5   55.06%     30.08%     27.35%     5.81%   


                   Average Matthews Correlation Coefficient:                    

                      Grouping  Overall    Average    F1 Score     MCC    
                    012-3-46-5   46.48%     32.18%     30.21%     9.45%   
                    012-3-45-6   45.20%     31.60%     29.21%     8.79%   
                    012-36-4-5   45.71%     30.95%     28.94%     8.16%   
                    012-35-4-6   44.94%     30.62%     28.53%     7.98%   
                    012-3-4-56   45.97%     30.63%     28.70%     7.95%   
                    012-34-5-6   44.30%     30.29%     28.45%     7.69%   
                    0123-4-5-6   53.39%     30.18%     28.45%     7.38%   
                    0124-3-5-6   52.88%     30.25%     28.85%     6.73%   
                    0126-3-4-5   55.06%     30.08%     27.35%     5.81%   
                    0125-3-4-6   53.27%     29.30%     27.64%     5.79%   
