R:A::C:P,0,1,2,3 4,5 6
0,0.16911764705882354,0.08843537414965986,0.05660377358490566,0.0845771144278607,0.07329842931937172
1,0.4411764705882353,0.47619047619047616,0.330188679245283,0.26865671641791045,0.3193717277486911
2,0.16911764705882354,0.2108843537414966,0.2830188679245283,0.24378109452736318,0.20418848167539266
3 4,0.08088235294117647,0.061224489795918366,0.16981132075471697,0.12935323383084577,0.13089005235602094
5 6,0.13970588235294118,0.16326530612244897,0.16037735849056603,0.2736318407960199,0.27225130890052357
