R:A::C:P,0,1 4 6,2 3 5
0,0.43243243243243246,0.36486486486486486,0.20270270270270271
1 4 6,0.17633136094674556,0.46982248520710057,0.35384615384615387
2 3 5,0.1543340380549683,0.4186046511627907,0.427061310782241
