R:A::C:P,0 1,2,3 4 5
0 1,0.6363636363636364,0.21818181818181817,0.14545454545454545
2,0.3684210526315789,0.3157894736842105,0.3157894736842105
3 4 5,0.16666666666666666,0.6666666666666666,0.16666666666666666
