R:A::C:P,0,1,2,3,4,5 6
0,28,8,4,3,7,10
1,47,31,21,17,21,29
2,10,17,13,8,11,22
3,1,1,6,3,5,6
4,2,0,2,1,7,2
5 6,5,2,5,5,6,10
