R:A::C:P,antag,fool,protag
antag,0.3448275862068966,0.034482758620689655,0.6206896551724138
fool,0.17391304347826086,0.6956521739130435,0.13043478260869565
protag,0.2571428571428571,0.11428571428571428,0.6285714285714286
