R:A::C:P,antag,fool,protag
antag,0.43478260869565216,0.047619047619047616,0.4186046511627907
fool,0.17391304347826086,0.7619047619047619,0.06976744186046512
protag,0.391304347826087,0.19047619047619047,0.5116279069767442
