R:A::C:P,0,1 3 5,2,4,6
0,0.053231939163498096,0.043726235741444866,0.019011406844106463,0.009505703422053232,0.0038022813688212928
1 3 5,0.1444866920152091,0.19961977186311788,0.09695817490494296,0.06653992395437262,0.03612167300380228
2,0.03231939163498099,0.09505703422053231,0.045627376425855515,0.019011406844106463,0.019011406844106463
4,0.005703422053231939,0.019011406844106463,0.009505703422053232,0.0,0.011406844106463879
6,0.011406844106463879,0.02091254752851711,0.0076045627376425855,0.015209125475285171,0.015209125475285171
