R:A::C:P,0,1 3,2,4,5 6
0,0.40476190476190477,0.11864406779661017,0.08,0.3684210526315789,0.14285714285714285
1 3,0.42857142857142855,0.559322033898305,0.52,0.42105263157894735,0.35714285714285715
2,0.09523809523809523,0.2542372881355932,0.32,0.05263157894736842,0.42857142857142855
4,0.023809523809523808,0.03389830508474576,0.04,0.15789473684210525,0.0
5 6,0.047619047619047616,0.03389830508474576,0.04,0.0,0.07142857142857142
