R:A::C:P,0 1 5 6,2,3 4
0 1 5 6,0.4382183908045977,0.06896551724137931,0.16954022988505746
2,0.11566091954022989,0.029454022988505746,0.05244252873563218
3 4,0.0610632183908046,0.022270114942528736,0.042385057471264365
