R:A::C:P,0 3,1,2 4 6,5
0 3,0.1550925925925926,0.1282051282051282,0.10431654676258993,0.12352941176470589
1,0.2916666666666667,0.43162393162393164,0.23201438848920863,0.14705882352941177
2 4 6,0.4699074074074074,0.3888888888888889,0.6007194244604317,0.6529411764705882
5,0.08333333333333333,0.05128205128205128,0.06294964028776978,0.07647058823529412
