                               Overall Accuracy:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                   01-25-3-4-6   40.49%     30.92%     25.86%     11.75%  
                   0-125-3-4-6   40.08%     33.60%     26.55%     12.71%  
                   0-1-235-4-6   31.17%     31.55%     25.40%     11.56%  
                   025-1-3-4-6   30.77%     28.41%     21.46%     6.19%   
                   0-13-25-4-6   30.77%     29.98%     25.37%     9.18%   
                   0-14-25-3-6   30.36%     27.59%     24.11%     8.32%   
                   0-16-25-3-4   30.36%     36.06%     28.14%     12.77%  
                   0-1-256-3-4   29.96%     37.04%     27.74%     14.25%  
                   0-1-245-3-6   28.34%     27.62%     22.78%     8.16%   
                   04-1-25-3-6   27.53%     27.00%     21.87%     7.65%   
                   06-1-25-3-4   26.72%     34.44%     25.19%     11.40%  
                   0-1-25-36-4   26.72%     36.24%     26.50%     13.30%  
                   03-1-25-4-6   26.32%     27.72%     21.97%     7.31%   
                   0-1-25-34-6   26.32%     28.70%     23.12%     9.09%   
                   0-1-25-3-46   25.51%     31.99%     24.27%     10.46%  


                               Average Accuracy:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                   0-1-256-3-4   29.96%     37.04%     27.74%     14.25%  
                   0-1-25-36-4   26.72%     36.24%     26.50%     13.30%  
                   0-16-25-3-4   30.36%     36.06%     28.14%     12.77%  
                   06-1-25-3-4   26.72%     34.44%     25.19%     11.40%  
                   0-125-3-4-6   40.08%     33.60%     26.55%     12.71%  
                   0-1-25-3-46   25.51%     31.99%     24.27%     10.46%  
                   0-1-235-4-6   31.17%     31.55%     25.40%     11.56%  
                   01-25-3-4-6   40.49%     30.92%     25.86%     11.75%  
                   0-13-25-4-6   30.77%     29.98%     25.37%     9.18%   
                   0-1-25-34-6   26.32%     28.70%     23.12%     9.09%   
                   025-1-3-4-6   30.77%     28.41%     21.46%     6.19%   
                   03-1-25-4-6   26.32%     27.72%     21.97%     7.31%   
                   0-1-245-3-6   28.34%     27.62%     22.78%     8.16%   
                   0-14-25-3-6   30.36%     27.59%     24.11%     8.32%   
                   04-1-25-3-6   27.53%     27.00%     21.87%     7.65%   


                               Average F1 Score:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                   0-16-25-3-4   30.36%     36.06%     28.14%     12.77%  
                   0-1-256-3-4   29.96%     37.04%     27.74%     14.25%  
                   0-125-3-4-6   40.08%     33.60%     26.55%     12.71%  
                   0-1-25-36-4   26.72%     36.24%     26.50%     13.30%  
                   01-25-3-4-6   40.49%     30.92%     25.86%     11.75%  
                   0-1-235-4-6   31.17%     31.55%     25.40%     11.56%  
                   0-13-25-4-6   30.77%     29.98%     25.37%     9.18%   
                   06-1-25-3-4   26.72%     34.44%     25.19%     11.40%  
                   0-1-25-3-46   25.51%     31.99%     24.27%     10.46%  
                   0-14-25-3-6   30.36%     27.59%     24.11%     8.32%   
                   0-1-25-34-6   26.32%     28.70%     23.12%     9.09%   
                   0-1-245-3-6   28.34%     27.62%     22.78%     8.16%   
                   03-1-25-4-6   26.32%     27.72%     21.97%     7.31%   
                   04-1-25-3-6   27.53%     27.00%     21.87%     7.65%   
                   025-1-3-4-6   30.77%     28.41%     21.46%     6.19%   


                   Average Matthews Correlation Coefficient:                    

                      Grouping  Overall    Average    F1 Score     MCC    
                   0-1-256-3-4   29.96%     37.04%     27.74%     14.25%  
                   0-1-25-36-4   26.72%     36.24%     26.50%     13.30%  
                   0-16-25-3-4   30.36%     36.06%     28.14%     12.77%  
                   0-125-3-4-6   40.08%     33.60%     26.55%     12.71%  
                   01-25-3-4-6   40.49%     30.92%     25.86%     11.75%  
                   0-1-235-4-6   31.17%     31.55%     25.40%     11.56%  
                   06-1-25-3-4   26.72%     34.44%     25.19%     11.40%  
                   0-1-25-3-46   25.51%     31.99%     24.27%     10.46%  
                   0-13-25-4-6   30.77%     29.98%     25.37%     9.18%   
                   0-1-25-34-6   26.32%     28.70%     23.12%     9.09%   
                   0-14-25-3-6   30.36%     27.59%     24.11%     8.32%   
                   0-1-245-3-6   28.34%     27.62%     22.78%     8.16%   
                   04-1-25-3-6   27.53%     27.00%     21.87%     7.65%   
                   03-1-25-4-6   26.32%     27.72%     21.97%     7.31%   
                   025-1-3-4-6   30.77%     28.41%     21.46%     6.19%   
