character,AA,AE,AH,AO,AW,AY,EH,ER,EY,IH,IY,OW,OY,UH,UW
1H4_Archbishop,-0.02082114209640998,-0.022424415193312758,-0.017188264773112773,-0.01899436946088257,-0.01867712696877507,-0.02005198852735184,-0.01743688677925725,-0.018592589267410205,-0.01983637225846202,-0.01951040269746898,-0.022819448005058227,-0.02132257152597413,-0.023302011419287713,-0.020873433023392937,-0.017476859917744142
1H4_Bardolph,-0.01747307977602673,-0.022424415193312758,-0.02128365947430737,-0.0203350912632795,-0.02033959430309613,-0.01975865033814714,-0.020543980703704938,-0.022995186640108342,-0.02088920284972397,-0.02246886103050884,-0.022819448005058227,-0.021892634780491332,-0.023302011419287713,-0.02384815801225145,-0.017869443662636972
1H4_Blunt,-0.016516490541631516,-0.016805004648935307,-0.017188264773112773,-0.01899436946088257,-0.01784589330161454,-0.020345326716556537,-0.016871960611175855,-0.01932635549619323,-0.018257126371569093,-0.019017326308629002,-0.019179678773193952,-0.022462698035008534,-0.016250872215573503,-0.017898708034534423,-0.017476859917744142
1H4_Chamberlain,-0.022256025948002803,-0.01992689939581167,-0.022333760679741882,-0.021675813065676428,-0.022002061637417195,-0.022105355851784723,-0.02365107462815262,-0.023728952868891363,-0.021415618145354948,-0.02312629621562881,-0.02437934910442863,-0.02132257152597413,-0.023302011419287713,-0.022360795517822194,-0.022973032346243753
1H4_Douglas,-0.015081606690038695,-0.01742938359831058,-0.017188264773112773,-0.018547462193416926,-0.009533556630009231,-0.01594525387848607,-0.01828427603137935,-0.02042700483936776,-0.02088920284972397,-0.01523707399418918,-0.019439662289755685,-0.01505187572628491,-0.023302011419287713,-0.022360795517822194,-0.022187864856458094
1H4_Falstaff,0.13653778696160274,0.1645770801445813,0.11627959843761367,0.11239636717401646,0.15421947580061535,0.13629726631875205,0.0980905145933885,0.08963792947808562,0.11124103635365089,0.10277254173484532,0.1123719806070435,0.1075117239949135,0.08951621584013968,0.1338122663972498,0.09676500984606919
1H4_Gadshill,-0.018907963627619553,-0.012746541477996039,-0.01771331537583003,-0.019441276728348212,-0.014520958632972416,-0.02005198852735184,-0.019414128367542142,-0.015657524352278115,-0.011413727528366412,-0.019017326308629002,-0.019179678773193952,-0.016762065489836515,-0.016250872215573503,-0.017898708034534423,-0.016691692427958482
1H4_Glendower,-0.009342071283667411,-0.009000267781744405,-0.00847242476800633,-0.007821687774241496,-0.013689724965811886,-0.010371828283596816,-0.012635014350565374,-0.01088804386518847,-0.00930806634584251,-0.011949898068589333,-0.007740404044477651,-0.016762065489836515,-0.023302011419287713,-0.01492398304567591,-0.010017768764780385
1H4_HenryIV,0.04087886352208134,0.038140342896088655,0.05516370828132507,0.041785018914444874,0.060290071411475354,0.027762136313013885,0.04894193797030693,0.046345721979887296,0.029120250235218702,0.044096451462888056,0.052055804764721186,0.033403500907677255,0.0472093806178544,0.026722166798343293,0.041410701816180256
1H4_HenryV,0.0992308068201894,0.10650983785268096,0.09758779698087934,0.09452007647539075,0.14175097079320736,0.0914165233704333,0.09357110524873732,0.07166065687290156,0.08018253391142334,0.08502179173660614,0.08585366191774661,0.08242894079615662,0.06836279822899703,0.071343041631221,0.0594695540812504
1H4_Hotspur,0.10162227990617743,0.07747621670673081,0.09842787794522695,0.08871028199833739,0.08688954876061233,0.08144302493747357,0.09046401132428963,0.09660870865152434,0.09439574689345967,0.09554075469852565,0.08455374433493795,0.08413913055970822,0.04015824141414019,0.0921661165532306,0.07046189893824963
1H4_LadyPercy,-0.01460331207284109,-0.016492815174247673,-0.015298082603330654,-0.016759833123554356,-0.014520958632972416,-0.011251842851210909,-0.014894719022890964,-0.01932635549619323,-0.018257126371569093,-0.017045020753269094,-0.014239991958521003,-0.016762065489836515,-0.023302011419287713,-0.017898708034534423,-0.014728773703494336
1H4_MistressQuickly,-0.013646722838445874,-0.015868436224872398,-0.01855339634017764,-0.012737667716363569,-0.006208621961367108,-0.010665166472801513,-0.019414128367542142,-0.018592589267410205,-0.018257126371569093,-0.020332196678868944,-0.017099810640700076,-0.00935124318111289,-0.009199733011859291,-0.010461895562388137,-0.015121357448387166
1H4_Mortimer,-0.01269013360405066,-0.01180997305393313,-0.012462809348657473,-0.01586601858862307,-0.012858491298651355,-0.011838519229620304,-0.014329792854809566,-0.010521160750796957,-0.017204295780307143,-0.012771692049989295,-0.014239991958521003,-0.020182445016939728,-0.016250872215573503,-0.013436620551246652,-0.015906524938172826
1H4_Northumberland,-0.02082114209640998,-0.022424415193312758,-0.021178649353763918,-0.021228905798210785,-0.022002061637417195,-0.02122534128417063,-0.02167383303986773,-0.022995186640108342,-0.02088920284972397,-0.020003479086308958,-0.02229948097193476,-0.024172887798560142,-0.016250872215573503,-0.017898708034534423,-0.022973032346243753
1H4_Poins,-0.011733544369655445,-0.0015077203892411362,-0.013617920674635435,-0.01005622411156971,-0.004546154627046046,-0.013305210175643793,-0.006420826501670003,-0.012355576322754514,-0.017204295780307143,-0.014908356401629195,-0.013200057892274067,-0.011061432944664497,-0.0021485938081450802,-0.011949258056817395,-0.015906524938172826
1H4_TRAVELERS.CARRIERS.1,-0.01747307977602673,-0.02055127834518694,-0.022753801161915686,-0.026144885740332857,-0.022002061637417195,-0.02122534128417063,-0.023086148460071225,-0.023362069754499854,-0.02088920284972397,-0.022633219826788835,-0.022819448005058227,-0.022462698035008534,-0.016250872215573503,-0.017898708034534423,-0.02454336732581507
1H4_TRAVELERS.CARRIERS.2,-0.02416920441679323,-0.022112225718625124,-0.022333760679741882,-0.022569627600607715,-0.021170827970256663,-0.021812017662580025,-0.023368611544111923,-0.024462719097674387,-0.02088920284972397,-0.023455013808188797,-0.02229948097193476,-0.024742951053077344,-0.023302011419287713,-0.02384815801225145,-0.02454336732581507
1H4_Vernon,-0.013646722838445874,-0.016180625699560035,-0.011412708143222962,-0.013184574983829212,-0.01618342596729348,-0.014478562932462583,-0.014612255938850264,-0.011988693208363002,-0.012466558119628364,-0.01030631010578941,-0.015539909541329673,-0.016762065489836515,-0.023302011419287713,-0.01938607052896368,-0.017476859917744142
1H4_Westmoreland,-0.016516490541631516,-0.02055127834518694,-0.01697824453202587,-0.016312925856088713,-0.02033959430309613,-0.02005198852735184,-0.01574210827501306,-0.021160771068150785,-0.014572219302152266,-0.01934604390118899,-0.020739579872564355,-0.022462698035008534,-0.023302011419287713,-0.01938607052896368,-0.017869443662636972
1H4_Worcester,0.00883312416984166,0.00536044805388686,0.020300348260899288,0.022121099145956582,0.012078518716164569,0.006641786690275652,0.010526958540771916,0.016628189714174877,0.019644774913861143,0.016484173687849345,0.006818672882979457,0.005470401436334358,-0.0021485938081450802,0.005899091876333692,0.009218834734968252
1H6_Alanson,-0.016994785158829125,-0.016180625699560035,-0.01697824453202587,-0.012737667716363569,-0.015352192300132947,-0.02005198852735184,-0.016024571359053757,-0.01639129058106114,-0.014572219302152266,-0.01951040269746898,-0.015799893057891406,-0.019612381762422526,0.004902545395569131,-0.011949258056817395,-0.019832362387101118
1H6_Basset,-0.022256025948002803,-0.021175657294562215,-0.019708507666155603,-0.019441276728348212,-0.021170827970256663,-0.02122534128417063,-0.020826443787745636,-0.02262830352571683,-0.024047694623509825,-0.020496555475148934,-0.020999563389126088,-0.02303276128952574,-0.023302011419287713,-0.022360795517822194,-0.022187864856458094
1H6_Bastard,-0.02082114209640998,-0.021175657294562215,-0.02023355826887286,-0.021228905798210785,-0.01784589330161454,-0.022105355851784723,-0.02167383303986773,-0.020060121724976253,-0.021415618145354948,-0.019839120290028964,-0.019439662289755685,-0.02075250827145693,-0.023302011419287713,-0.020873433023392937,-0.022580448601350923
1H6_Bedford,-0.011733544369655445,-0.012434352003308401,-0.01214777898702712,-0.005140244169447638,-0.006208621961367108,-0.010078490094392118,-0.005855900333588606,-0.01125492697957998,-0.0029910827982708036,-0.010635027698349394,-0.010340239210094991,-0.011061432944664497,-0.009199733011859291,-0.022360795517822194,-0.014728773703494336
1H6_Burgundy,-0.01125524975245784,-0.01742938359831058,-0.017818325496373483,-0.01720674039102,-0.015352192300132947,-0.016825268446100165,-0.018566739115420047,-0.013823108780320559,-0.015625049893414216,-0.01967476149374897,-0.013720024925397535,-0.01790219199887092,-0.023302011419287713,-0.016411345540105166,-0.021795281111565264
1H6_CardinalBeaufort,-0.011733544369655445,-0.007439320408306223,-0.004272019946268283,-0.001564986029722494,0.0021037147102382,-0.009491813715982723,-0.010657772762280483,-0.006852329606881845,-0.010360896937104461,-0.0032388818657497383,-0.004620601845736842,-0.0122015594536989,-0.009199733011859291,-0.011949258056817395,-0.008054850040316239
1H6_Charles,0.00022382106028473155,0.0016141743576352254,0.001503536683621531,0.0024571793774682926,0.023715790056412,-0.00010499166143239561,0.0017706029355102578,0.003787280710471983,0.0012202395667770005,0.0005413704486900856,0.0029189201345534463,-0.0036506106359408723,0.011953684599283343,-0.005999808079100366,-0.011588103744351702
1H6_Countess,-0.01747307977602673,-0.014931867800809491,-0.017398285014199676,-0.01720674039102,-0.011196023964330294,-0.014478562932462583,-0.018566739115420047,-0.018225706153018696,-0.017730711075938117,-0.016387585568149125,-0.015539909541329673,-0.02075250827145693,-0.016250872215573503,-0.01938607052896368,-0.021795281111565264
1H6_Exeter,-0.01747307977602673,-0.014619678326121856,-0.013827940915722339,-0.009162409576638424,-0.012858491298651355,-0.015651915689281374,-0.012635014350565374,-0.012355576322754514,-0.015625049893414216,-0.008169645754149508,-0.013200057892274067,-0.016762065489836515,-0.016250872215573503,-0.01492398304567591,-0.018654611152422628
1H6_General,-0.019864552862014766,-0.021175657294562215,-0.0194984874250687,-0.023016534868073354,-0.012858491298651355,-0.02122534128417063,-0.019414128367542142,-0.022261420411325318,-0.022468448736616898,-0.020660914271428927,-0.02047959635600262,-0.02303276128952574,-0.009199733011859291,-0.025335520506680708,-0.022973032346243753
1H6_Gloucester,0.011224597255829695,0.014726132294515944,0.014209761269379121,0.016758211936368866,0.02205332272209094,0.012508550474369606,0.011374347792894013,0.010024293655127674,0.014380621957551389,0.013196997762249496,0.012798293763899342,0.003190148418265551,0.011953684599283343,-0.0030250830902418513,0.013144672183896543
1H6_HenryVI,0.00213699952907516,0.006297016477949768,0.019145236934921327,0.028824708157941227,0.004597415711719792,0.004588419365842767,0.019848240314114973,0.016628189714174877,0.0054315619318248045,0.00925238665152968,0.007338639916102925,0.003190148418265551,0.04015824141414019,0.005899091876333692,0.012359504694110885
1H6_JohnTalbot,-0.014125017455643481,-0.013058730952683674,-0.017188264773112773,-0.01452529678622614,-0.02033959430309613,-0.00861179914836863,-0.018849202199460745,-0.017491939924235672,-0.011940142823997387,-0.018359891123509033,-0.019959629322879154,-0.013911749217250507,-0.009199733011859291,-0.016411345540105166,-0.017084276172851312
1H6_Lucy,-0.01269013360405066,-0.010873404629870222,-0.006162202116050403,-0.002011893297188137,-0.012858491298651355,-0.015651915689281374,-0.0072682157537921,-0.00831986206444789,-0.00825523575458056,-0.010799386494629385,-0.013460041408835801,-0.012771622708216104,-0.023302011419287713,-0.010461895562388137,-0.01237327123413736
1H6_MESSENGERS.ENGLISH.1,-0.021299436713607588,-0.023673173092063304,-0.022753801161915686,-0.021675813065676428,-0.022002061637417195,-0.02357204679780821,-0.02365107462815262,-0.023362069754499854,-0.022994864032247875,-0.02312629621562881,-0.024639332620990367,-0.02303276128952574,-0.023302011419287713,-0.020873433023392937,-0.023365616091136583
1H6_MESSENGERS.ENGLISH.3,-0.016516490541631516,-0.017741573072998215,-0.015508102844417556,-0.018547462193416926,-0.014520958632972416,-0.021518679473375327,-0.01545964519097236,-0.01932635549619323,-0.01878354166720007,-0.017045020753269094,-0.018919695256632216,-0.019042318507905324,-0.023302011419287713,-0.016411345540105166,-0.017084276172851312
1H6_MESSENGERS.FRENCH.1,-0.024647499033990838,-0.022112225718625124,-0.023593882126263295,-0.02078199853074514,-0.021170827970256663,-0.022692032230194118,-0.025345853132396814,-0.02519648532645741,-0.02194203344098592,-0.024112448993308767,-0.024639332620990367,-0.024172887798560142,-0.023302011419287713,-0.02384815801225145,-0.02415078358092224
1H6_MasterGunner,-0.023212615182398016,-0.022424415193312758,-0.02306883152354604,-0.02525107120540157,-0.012858491298651355,-0.022985370419398816,-0.02393353771219332,-0.022261420411325318,-0.022994864032247875,-0.02246886103050884,-0.022819448005058227,-0.024172887798560142,-0.023302011419287713,-0.022360795517822194,-0.02375819983602941
1H6_Mayor,-0.020342847479212372,-0.022424415193312758,-0.021493679715394273,-0.02212272033314207,-0.0195083606359356,-0.02357204679780821,-0.020826443787745636,-0.0248296022120659,-0.022468448736616898,-0.022797578623068828,-0.02177951393881129,-0.021892634780491332,-0.023302011419287713,-0.017898708034534423,-0.022580448601350923
1H6_Mortimer,-0.008863776666469803,-0.010873404629870222,-0.008367414647462877,-0.008715502309172781,-0.013689724965811886,-0.004211726310298164,-0.0004891017368153315,-0.007219212721273356,-0.008781651050211534,-0.0038963170508697076,-0.010080255693533258,-0.014481812471767708,-0.016250872215573503,-0.016411345540105166,-0.010017768764780385
1H6_Pucelle,0.0317912657953268,0.020345542838893393,0.031641441279592016,0.021227284611025295,0.028703192059375184,0.0260021071777857,0.023520260406644056,0.026900916917137193,0.03227874200900455,0.027660571834888823,0.02995720585697379,0.016871666526678396,-0.0021485938081450802,0.011848541854050721,0.026492519510252742
1H6_QueenMargaret,-0.018429669010421944,-0.018053762547685853,-0.02054858863050321,-0.021228905798210785,-0.021170827970256663,-0.01741194482450956,-0.02026151761966424,-0.01932635549619323,-0.018257126371569093,-0.020003479086308958,-0.019699645806317417,-0.02303276128952574,-0.023302011419287713,-0.011949258056817395,-0.021010113621779604
1H6_Reignier,-0.011733544369655445,-0.016180625699560035,-0.014142971277352692,-0.014972204053691783,-0.012027257631490824,-0.012718533797234397,-0.01348240360268747,-0.015290641237886605,-0.010887312232735437,-0.015730150383029155,-0.011120189759780194,-0.01790219199887092,-0.0021485938081450802,-0.01938607052896368,-0.01315843872392302
1H6_Salisbury,-0.023690909799595622,-0.02492193099081385,-0.024223942849524,-0.024804163937935927,-0.01618342596729348,-0.02239869404098942,-0.02223875920794913,-0.022995186640108342,-0.024047694623509825,-0.023290655011908804,-0.023339415038181696,-0.025883077562111747,-0.016250872215573503,-0.022360795517822194,-0.02415078358092224
1H6_Shepherd,-0.018907963627619553,-0.021800036243937487,-0.022543780920828784,-0.02391034940300464,-0.013689724965811886,-0.01623859206769077,-0.02167383303986773,-0.020793887953759273,-0.024047694623509825,-0.022797578623068828,-0.02229948097193476,-0.019612381762422526,-0.023302011419287713,-0.01938607052896368,-0.022973032346243753
1H6_Somerset,-0.013646722838445874,-0.014931867800809491,-0.014247981397896143,-0.008715502309172781,-0.009533556630009231,-0.00978515190518742,-0.008680531173995592,-0.015657524352278115,-0.010360896937104461,-0.009813233716949431,-0.016839827124138344,-0.00935124318111289,-0.023302011419287713,-0.017898708034534423,-0.017869443662636972
1H6_Suffolk,0.007876534935446445,0.005984827003262132,0.011584508255792842,0.007820066587056008,0.0037661820445592615,0.004001742987433372,0.00967956928864982,0.01442689102782581,0.009642884296872609,0.013196997762249496,0.01721801354544882,0.003190148418265551,0.004902545395569131,0.004411729381904435,0.008826250990075422
1H6_Talbot,0.057619175123997585,0.05094011135828174,0.06356451792480117,0.06323656775279574,0.064446239747278,0.07205620288292325,0.06165277675213837,0.059553514097981694,0.06965422799880383,0.05839566673924739,0.05647552454627067,0.03796400694381486,0.05426051982156861,0.029696891787201807,0.04533653926510855
1H6_Vernon,-0.018907963627619553,-0.018678141497061124,-0.020128548148329407,-0.019888183995813855,-0.02033959430309613,-0.01858529758132835,-0.02223875920794913,-0.020793887953759273,-0.020362787554092994,-0.020660914271428927,-0.02177951393881129,-0.020182445016939728,-0.023302011419287713,-0.022360795517822194,-0.020224946131993948
1H6_Warwick,-0.012211838986853053,-0.013058730952683674,-0.0104676170583319,-0.009609316844104068,-0.012027257631490824,-0.01359854836484849,-0.011787625098443279,-0.011988693208363002,-0.014572219302152266,-0.008498363346709493,-0.012940074375712332,-0.013341685962733305,-0.016250872215573503,-0.017898708034534423,-0.010017768764780385
1H6_York,0.009311418787039267,0.011292048072951946,0.013579700546118414,0.015417490133971938,0.013740986050485631,0.014268579609597792,0.014198978633301,0.01699507282856639,0.018065529026968216,0.011882127392009558,0.006558689366417723,0.007750654454403166,0.019004823802997554,0.004411729381904435,0.001759743582004494
2H4_Archbishop,0.006919945701051231,-0.002756478287991681,0.008434204639489308,0.00960769565691858,0.019559621720609346,-0.003625049931888768,0.0051601599439986415,0.006355462511212562,0.0001674089755150495,0.002184958411490009,0.008118590465788127,0.003760211672782753,-0.0021485938081450802,0.0029243668874751774,0.00018940860243317695
2H4_Bardolph,-0.017951374393224338,-0.016180625699560035,-0.01760830525528658,-0.01720674039102,-0.021170827970256663,-0.017118606635304862,-0.020543980703704938,-0.016758173695452648,-0.010887312232735437,-0.020989631863988913,-0.02177951393881129,-0.01733212874435372,-0.016250872215573503,-0.01492398304567591,-0.016691692427958482
