R:A::C:P,0,1,2,3 4 5 6
0,0.48148148148148145,0.25925925925925924,0.037037037037037035,0.2222222222222222
1,0.23728813559322035,0.3728813559322034,0.15254237288135594,0.23728813559322035
2,0.14814814814814814,0.14814814814814814,0.3333333333333333,0.37037037037037035
3 4 5 6,0.15384615384615385,0.0,0.23076923076923078,0.6153846153846154
