R:A::C:P,0,1 3 5,2,4
0,0.42105263157894735,0.5263157894736842,0.05263157894736842,0.0
1 3 5,0.25,0.4,0.35,0.0
2,0.21052631578947367,0.47368421052631576,0.3157894736842105,0.0
4,0.0,0.0,0.5,0.5
