R:A::C:P,0,1 3 5,2,4
0,0.36363636363636365,0.2857142857142857,0.045454545454545456,0.0
1 3 5,0.45454545454545453,0.45714285714285713,0.6363636363636364,0.0
2,0.18181818181818182,0.2571428571428571,0.2727272727272727,0.0
4,0.0,0.0,0.045454545454545456,1.0
