R:A::C:P,0,1,2 5,3 4,6
0,0.12598425196850394,0.0811965811965812,0.03550295857988166,0.024456521739130436,0.010101010101010102
1,0.36220472440944884,0.43162393162393164,0.1893491124260355,0.22826086956521738,0.20202020202020202
2 5,0.2204724409448819,0.26495726495726496,0.28994082840236685,0.28804347826086957,0.2474747474747475
3 4,0.0984251968503937,0.06837606837606838,0.16568047337278108,0.16032608695652173,0.09595959595959595
6,0.19291338582677164,0.15384615384615385,0.31952662721893493,0.29891304347826086,0.4444444444444444
