R:A::C:P,0,1,2,3,4,5,6,7,p
0,26,6,5,3,4,1,2,8,5
1,33,45,21,9,14,3,10,15,16
2,11,17,16,11,4,6,10,2,4
3,1,1,4,5,3,2,3,0,3
4,1,1,1,4,5,0,1,0,1
5,3,0,2,1,3,4,3,0,1
6,0,1,2,2,5,2,1,3,0
7,1,1,0,0,0,0,0,2,1
p,3,2,3,0,0,1,0,2,1
