R:A::C:P,0 1 2,3 4,5,6
0 1 2,0.9157894736842105,0.78,1.0,0.6666666666666666
3 4,0.05263157894736842,0.18,0.0,0.0
5,0.021052631578947368,0.02,0.0,0.3333333333333333
6,0.010526315789473684,0.02,0.0,0.0
