R:A::C:P,0,1,2,3,4 5 6
0,0.3150684931506849,0.1780821917808219,0.0821917808219178,0.0684931506849315,0.3561643835616438
1,0.21428571428571427,0.25,0.125,0.11071428571428571,0.3
2,0.13372093023255813,0.18023255813953487,0.1744186046511628,0.13953488372093023,0.37209302325581395
3,0.08,0.16,0.18,0.18,0.4
4 5 6,0.1262135922330097,0.12135922330097088,0.1262135922330097,0.1262135922330097,0.5
