R:A::C:P,0 2 3,1,4 6,5
0 2 3,0.1702944942381562,0.06658130601792574,0.08578745198463508,0.05505761843790013
1,0.1613316261203585,0.08962868117797695,0.07426376440460948,0.03329065300896287
4 6,0.07554417413572344,0.023047375160051217,0.06530089628681178,0.026888604353393086
5,0.024327784891165175,0.008962868117797696,0.024327784891165175,0.015364916773367477
