R:A::C:P,0 1 2 3,4 5,6
0 1 2 3,0.5797872340425532,0.1675531914893617,0.1276595744680851
4 5,0.0398936170212766,0.02925531914893617,0.013297872340425532
6,0.018617021276595744,0.02127659574468085,0.0026595744680851063
