R:A::C:P,0,1 2 4 5,3,6
0,0.022988505747126436,0.02658045977011494,0.0021551724137931034,0.0014367816091954023
1 2 4 5,0.11206896551724138,0.3369252873563218,0.07543103448275862,0.06824712643678162
3,0.01221264367816092,0.040948275862068964,0.010775862068965518,0.009339080459770116
6,0.035201149425287355,0.14295977011494254,0.039511494252873564,0.06321839080459771
