R:A::C:P,0,1 2 4 5,3,6
0,0.43243243243243246,0.5,0.04054054054054054,0.02702702702702703
1 2 4 5,0.1890909090909091,0.5684848484848485,0.12727272727272726,0.11515151515151516
3,0.16666666666666666,0.5588235294117647,0.14705882352941177,0.12745098039215685
6,0.12531969309462915,0.5089514066496164,0.14066496163682865,0.22506393861892582
