R:A::C:P,0,1 2 4 5,3,6
0,0.12598425196850394,0.048556430446194225,0.016853932584269662,0.010101010101010102
1 2 4 5,0.6141732283464567,0.615485564304462,0.5898876404494382,0.4797979797979798
3,0.06692913385826772,0.07480314960629922,0.08426966292134831,0.06565656565656566
6,0.19291338582677164,0.26115485564304464,0.3089887640449438,0.4444444444444444
