R:A::C:P,0 1 2 5,3,4 6
0 1 2 5,0.6580756013745704,0.11512027491408934,0.2268041237113402
3,0.58,0.18,0.24
4 6,0.5302013422818792,0.12751677852348994,0.3422818791946309
