R:A::C:P,0 1,2 6,3,4,5
0 1,0.776595744680851,0.5694444444444444,0.45714285714285713,0.6,0.5
2 6,0.18085106382978725,0.2777777777777778,0.3142857142857143,0.2,0.375
3,0.010638297872340425,0.05555555555555555,0.11428571428571428,0.03333333333333333,0.125
4,0.010638297872340425,0.041666666666666664,0.05714285714285714,0.16666666666666666,0.0
5,0.02127659574468085,0.05555555555555555,0.05714285714285714,0.0,0.0
