name,AA,AE,AH,AO,AW,AY,EH,ER,EY,IH,IY,OW,OY,UH,UW
1H6_SERVANTS.GLOUCESTER,1,1,7,2,0,0,2,2,1,2,2,2,0,0,2
1H6_SERVANTS.GLOUCESTER.0.1,2,3,15,4,0,0,5,5,1,5,3,4,0,0,7
1H6_SERVANTS.GLOUCESTER.0.2,3,6,27,8,2,8,3,9,3,9,10,5,1,0,6
1H6_SERVANTS.TALBOT.1,0,0,1,3,0,1,1,0,0,2,0,2,0,0,0
1H6_SERVANTS.WINCHESTER.0.1,1,1,5,2,2,0,3,2,3,5,7,1,0,0,1
1H6_SOLDIERS.ENGLISH.0.1,0,0,2,2,0,2,0,0,0,1,2,0,0,0,1
1H6_SOLDIERS.ENGLISH.1,0,3,8,3,0,3,3,2,3,3,4,3,1,0,2
1H6_SOLDIERS.ENGLISH.Captain,2,1,6,2,1,2,0,3,2,4,3,1,0,0,1
1H6_SOLDIERS.ENGLISH.SOMERSET.0.1,0,1,2,3,1,0,1,2,1,4,3,0,0,0,2
1H6_SOLDIERS.FRENCH.PUCELLE.0.1,1,3,4,2,1,0,1,3,0,1,6,2,0,0,2
1H6_SOLDIERS.FRENCH.Scout,5,4,15,0,2,1,3,2,0,8,5,0,1,0,6
1H6_SOLDIERS.FRENCH.Sergeant,2,2,12,4,0,2,3,2,2,3,3,1,1,0,2
1H6_Salisbury,5,4,22,6,10,11,14,11,5,21,15,1,1,2,6
1H6_Shepherd,15,14,38,8,13,32,16,17,5,24,19,12,0,4,9
1H6_Somerset,26,36,117,42,18,54,62,31,31,103,40,30,0,5,22
1H6_Suffolk,71,103,363,79,34,101,127,113,69,243,171,52,4,20,90
1H6_Talbot,175,247,858,203,107,333,311,236,183,518,322,113,11,37,183
1H6_Vernon,15,24,61,17,5,24,14,17,12,37,21,11,0,2,16
1H6_WARDERS.1,2,3,3,1,0,1,2,2,0,3,3,3,0,0,2
1H6_WARDERS.2,1,0,0,0,0,0,1,0,1,1,3,0,0,0,1
1H6_WATCHMEN.1,7,1,11,2,0,1,4,1,3,1,2,1,0,1,2
1H6_Warwick,29,42,153,40,15,41,51,41,23,111,55,23,1,5,42
1H6_Watchman,1,0,3,0,0,0,2,1,0,2,1,1,0,0,0
1H6_Woodville,2,6,14,1,1,3,3,3,3,7,3,2,1,0,1
1H6_York,74,120,382,96,46,136,143,120,85,235,130,60,6,20,72
2H4_Archbishop,69,75,333,83,53,75,111,91,51,176,136,53,3,19,68
2H4_BEADLES.0.1,2,10,26,3,2,3,7,5,1,14,7,3,0,1,9
2H4_Bardolph,17,32,85,23,4,29,20,28,30,35,21,16,1,7,25
2H4_Bedford,53,63,225,53,31,59,83,66,38,135,82,36,3,15,77
2H4_Bullcalf,10,12,17,11,1,13,11,13,3,19,6,8,0,2,4
2H4_ChiefJustice,80,94,320,99,26,73,106,83,48,180,116,43,6,20,103
2H4_Chorus,11,21,106,17,6,28,26,27,9,50,33,19,3,0,26
2H4_Clarence,11,11,48,11,4,17,11,15,6,30,15,16,1,6,8
2H4_Colevile,6,11,7,5,0,9,3,6,3,8,4,0,0,1,5
2H4_DRAWERS.1,3,8,15,3,3,6,4,5,1,15,6,3,0,0,2
2H4_DRAWERS.Francis,3,5,10,1,6,5,7,2,4,7,4,0,1,2,3
2H4_DRAWERS.Will,5,2,9,1,1,0,0,5,2,5,2,1,0,1,1
2H4_DRAWERS.X,0,0,2,0,0,0,0,1,1,2,1,1,0,1,1
2H4_Davy,12,26,76,18,10,17,25,33,16,35,30,7,0,2,17
2H4_DollTearsheet,44,68,158,32,26,60,55,38,37,74,57,28,4,13,57
2H4_Epilogue,19,19,82,20,5,35,33,20,15,62,42,9,0,7,39
2H4_Falstaff,295,560,1467,312,132,448,487,384,254,947,542,269,18,114,358
2H4_Feeble,3,10,11,4,0,15,9,7,5,12,6,8,0,4,4
2H4_GROOMS.1,1,2,10,3,0,0,1,0,2,2,1,0,0,0,1
2H4_GROOMS.2,0,1,4,0,1,1,0,0,0,0,0,0,0,0,0
2H4_Gloucester,7,9,30,11,1,8,11,11,7,18,19,10,0,4,6
2H4_Harcourt,5,8,23,5,1,3,5,6,5,5,4,3,0,0,5
2H4_Hastings,29,43,131,27,19,22,46,35,18,61,49,22,1,4,23
2H4_HenryIV,120,158,637,114,118,207,247,177,112,435,241,91,10,32,123
2H4_HenryV,153,202,637,155,82,227,221,155,106,419,271,119,14,38,176
2H4_LadyNorthumberland,2,3,12,3,0,4,1,1,2,6,2,4,0,0,3
2H4_LadyPercy,24,29,103,25,6,23,46,24,19,63,27,24,1,7,30
2H4_LordBardolph,43,34,204,55,20,36,68,47,37,114,65,29,2,11,41
2H4_MESSENGERS.1,2,0,14,4,2,4,4,2,2,3,4,0,0,1,0
2H4_MESSENGERS.Gower,6,6,17,5,0,7,4,3,3,5,3,1,0,3,2
2H4_MistressQuickly,80,128,311,94,51,135,115,90,69,158,153,84,3,52,107
2H4_Morton,36,50,183,57,10,40,68,42,29,123,54,31,1,11,42
2H4_Mouldy,5,14,16,6,3,6,10,10,4,9,14,6,0,2,11
2H4_Mowbray,27,43,130,26,20,28,45,36,16,72,51,16,1,7,20
2H4_Northumberland,37,60,236,44,28,79,87,52,41,143,89,29,4,12,43
2H4_OFFICERS.Fang,3,5,11,2,0,5,9,5,0,12,3,1,0,0,5
2H4_OFFICERS.Snare,1,2,5,1,1,0,2,1,1,3,3,0,0,0,2
2H4_Peto,4,7,16,5,0,2,6,5,1,7,4,2,0,1,0
2H4_Pistol,37,38,130,27,13,62,49,32,30,73,67,23,5,9,23
2H4_Poins,34,63,110,24,9,35,40,35,19,82,44,29,0,17,33
2H4_Porter,3,3,5,4,0,1,1,3,2,6,2,0,0,0,2
2H4_SERVANTS.CHIEFJUSTICE.1,5,12,12,9,1,8,5,8,3,9,10,2,0,3,9
2H4_SERVANTS.FALSTAFF.1,12,15,61,18,4,20,14,21,8,29,27,11,0,9,14
2H4_Shadow,0,0,2,0,0,1,0,3,0,0,1,0,0,0,0
2H4_Shallow,126,136,340,85,36,111,176,113,80,202,197,72,3,51,98
2H4_Silence,17,22,76,13,4,22,29,11,7,26,40,16,0,7,11
2H4_Travers,5,11,28,7,1,5,11,11,7,22,17,5,1,1,6
