R:A::C:P,0 1,2 5 6,3,4
0 1,0.5102040816326531,0.29591836734693877,0.08503401360544217,0.10884353741496598
2 5 6,0.3160919540229885,0.367816091954023,0.1781609195402299,0.13793103448275862
3,0.17647058823529413,0.6176470588235294,0.14705882352941177,0.058823529411764705
4,0.20833333333333334,0.75,0.041666666666666664,0.0
