R:A::C:P,0 5,1 2,3,4 6
0 5,0.21428571428571427,0.1225296442687747,0.12631578947368421,0.18461538461538463
1 2,0.5672268907563025,0.6561264822134387,0.5789473684210527,0.49230769230769234
3,0.05042016806722689,0.06719367588932806,0.09473684210526316,0.06153846153846154
4 6,0.16806722689075632,0.1541501976284585,0.2,0.26153846153846155
