R:A::C:P,0,1,2,3,4,5 6
0,13,7,1,0,4,2
1,14,22,9,6,4,4
2,4,4,9,5,2,3
3,0,0,1,2,1,1
4,1,0,1,0,1,1
5 6,1,0,1,2,0,0
