                               Overall Accuracy:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                    0123-4-5-6   48.20%     31.14%     29.58%     9.55%   
                    012-3-4-56   45.33%     32.78%     31.40%     11.67%  
                    0-1234-5-6   45.04%     34.68%     30.22%     10.34%  
                    0-1-2-3456   43.10%     37.25%     32.95%     14.37%  
                    01-2-3-456   41.67%     33.31%     32.77%     12.41%  
                    012-34-5-6   41.67%     31.82%     30.50%     11.02%  
                    012-3-45-6   41.31%     31.38%     30.22%     10.62%  
                    0-123-4-56   41.16%     36.91%     31.34%     11.76%  
                    0-12-3-456   40.09%     35.79%     31.00%     11.69%  
                    01-23-4-56   39.51%     35.42%     34.11%     14.10%  
                    01-234-5-6   39.44%     33.75%     33.20%     13.19%  
                    0-1-2345-6   38.79%     37.67%     33.30%     14.61%  
                    01-2-34-56   37.64%     34.80%     33.52%     13.80%  
                    0-1-23-456   37.57%     37.23%     33.22%     13.49%  
                    0-1-234-56   37.14%     38.01%     33.96%     14.62%  
                    0-123-45-6   37.14%     35.51%     30.16%     10.71%  
                    01-2-345-6   36.14%     34.75%     33.07%     13.92%  
                    0-12-34-56   36.06%     37.28%     31.75%     13.07%  
                    01-23-45-6   35.49%     34.02%     32.93%     13.05%  
                    0-12-345-6   34.55%     37.23%     31.30%     13.19%  


                               Average Accuracy:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                    0-1-234-56   37.14%     38.01%     33.96%     14.62%  
                    0-1-2345-6   38.79%     37.67%     33.30%     14.61%  
                    0-12-34-56   36.06%     37.28%     31.75%     13.07%  
                    0-1-2-3456   43.10%     37.25%     32.95%     14.37%  
                    0-12-345-6   34.55%     37.23%     31.30%     13.19%  
                    0-1-23-456   37.57%     37.23%     33.22%     13.49%  
                    0-123-4-56   41.16%     36.91%     31.34%     11.76%  
                    0-12-3-456   40.09%     35.79%     31.00%     11.69%  
                    0-123-45-6   37.14%     35.51%     30.16%     10.71%  
                    01-23-4-56   39.51%     35.42%     34.11%     14.10%  
                    01-2-34-56   37.64%     34.80%     33.52%     13.80%  
                    01-2-345-6   36.14%     34.75%     33.07%     13.92%  
                    0-1234-5-6   45.04%     34.68%     30.22%     10.34%  
                    01-23-45-6   35.49%     34.02%     32.93%     13.05%  
                    01-234-5-6   39.44%     33.75%     33.20%     13.19%  
                    01-2-3-456   41.67%     33.31%     32.77%     12.41%  
                    012-3-4-56   45.33%     32.78%     31.40%     11.67%  
                    012-34-5-6   41.67%     31.82%     30.50%     11.02%  
                    012-3-45-6   41.31%     31.38%     30.22%     10.62%  
                    0123-4-5-6   48.20%     31.14%     29.58%     9.55%   


                               Average F1 Score:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                    01-23-4-56   39.51%     35.42%     34.11%     14.10%  
                    0-1-234-56   37.14%     38.01%     33.96%     14.62%  
                    01-2-34-56   37.64%     34.80%     33.52%     13.80%  
                    0-1-2345-6   38.79%     37.67%     33.30%     14.61%  
                    0-1-23-456   37.57%     37.23%     33.22%     13.49%  
                    01-234-5-6   39.44%     33.75%     33.20%     13.19%  
                    01-2-345-6   36.14%     34.75%     33.07%     13.92%  
                    0-1-2-3456   43.10%     37.25%     32.95%     14.37%  
                    01-23-45-6   35.49%     34.02%     32.93%     13.05%  
                    01-2-3-456   41.67%     33.31%     32.77%     12.41%  
                    0-12-34-56   36.06%     37.28%     31.75%     13.07%  
                    012-3-4-56   45.33%     32.78%     31.40%     11.67%  
                    0-123-4-56   41.16%     36.91%     31.34%     11.76%  
                    0-12-345-6   34.55%     37.23%     31.30%     13.19%  
                    0-12-3-456   40.09%     35.79%     31.00%     11.69%  
                    012-34-5-6   41.67%     31.82%     30.50%     11.02%  
                    0-1234-5-6   45.04%     34.68%     30.22%     10.34%  
                    012-3-45-6   41.31%     31.38%     30.22%     10.62%  
                    0-123-45-6   37.14%     35.51%     30.16%     10.71%  
                    0123-4-5-6   48.20%     31.14%     29.58%     9.55%   


                   Average Matthews Correlation Coefficient:                    

                      Grouping  Overall    Average    F1 Score     MCC    
                    0-1-234-56   37.14%     38.01%     33.96%     14.62%  
                    0-1-2345-6   38.79%     37.67%     33.30%     14.61%  
                    0-1-2-3456   43.10%     37.25%     32.95%     14.37%  
                    01-23-4-56   39.51%     35.42%     34.11%     14.10%  
                    01-2-345-6   36.14%     34.75%     33.07%     13.92%  
                    01-2-34-56   37.64%     34.80%     33.52%     13.80%  
                    0-1-23-456   37.57%     37.23%     33.22%     13.49%  
                    0-12-345-6   34.55%     37.23%     31.30%     13.19%  
                    01-234-5-6   39.44%     33.75%     33.20%     13.19%  
                    0-12-34-56   36.06%     37.28%     31.75%     13.07%  
                    01-23-45-6   35.49%     34.02%     32.93%     13.05%  
                    01-2-3-456   41.67%     33.31%     32.77%     12.41%  
                    0-123-4-56   41.16%     36.91%     31.34%     11.76%  
                    0-12-3-456   40.09%     35.79%     31.00%     11.69%  
                    012-3-4-56   45.33%     32.78%     31.40%     11.67%  
                    012-34-5-6   41.67%     31.82%     30.50%     11.02%  
                    0-123-45-6   37.14%     35.51%     30.16%     10.71%  
                    012-3-45-6   41.31%     31.38%     30.22%     10.62%  
                    0-1234-5-6   45.04%     34.68%     30.22%     10.34%  
                    0123-4-5-6   48.20%     31.14%     29.58%     9.55%   
