R:A::C:P,0 1 6,2,3,4 5
0 1 6,0.3297413793103448,0.0617816091954023,0.06609195402298851,0.15014367816091953
2,0.09123563218390805,0.029454022988505746,0.028017241379310345,0.04885057471264368
3,0.029454022988505746,0.010775862068965518,0.010775862068965518,0.022270114942528736
4 5,0.042385057471264365,0.01867816091954023,0.022988505747126436,0.03735632183908046
