                               Overall Accuracy:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                    0123-4-5-6   75.47%     30.75%     27.28%     5.47%   
                    0-1234-5-6   63.52%     29.94%     30.04%     10.88%  
                    012-34-5-6   60.38%     31.72%     25.62%     7.83%   
                    012-3-4-56   58.49%     37.67%     29.49%     11.53%  
                    012-3-45-6   57.86%     29.61%     24.88%     6.12%   
                    0-123-4-56   56.60%     42.56%     37.00%     20.27%  
                    01-234-5-6   56.60%     30.48%     29.58%     12.81%  
                    0-123-45-6   55.97%     34.50%     32.39%     14.85%  
                    01-23-4-56   53.46%     42.71%     36.70%     20.80%  
                    01-23-45-6   52.83%     34.65%     32.09%     15.39%  
                    01-2-34-56   47.80%     39.93%     32.88%     17.54%  
                    01-2-345-6   47.80%     33.58%     29.68%     13.44%  
                    0-1-2345-6   45.91%     36.84%     33.99%     17.64%  
                    01-2-3-456   45.28%     34.53%     30.33%     13.74%  
                    0-1-234-56   42.77%     39.40%     35.73%     19.19%  
                    0-12-34-56   42.77%     42.24%     33.63%     17.98%  
                    0-12-345-6   42.77%     35.89%     30.43%     13.88%  
                    0-12-3-456   40.25%     36.83%     31.08%     14.19%  
                    0-1-23-456   38.99%     40.29%     36.43%     19.68%  
                    0-1-2-3456   34.59%     39.45%     34.15%     18.01%  


                               Average Accuracy:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                    01-23-4-56   53.46%     42.71%     36.70%     20.80%  
                    0-123-4-56   56.60%     42.56%     37.00%     20.27%  
                    0-12-34-56   42.77%     42.24%     33.63%     17.98%  
                    0-1-23-456   38.99%     40.29%     36.43%     19.68%  
                    01-2-34-56   47.80%     39.93%     32.88%     17.54%  
                    0-1-2-3456   34.59%     39.45%     34.15%     18.01%  
                    0-1-234-56   42.77%     39.40%     35.73%     19.19%  
                    012-3-4-56   58.49%     37.67%     29.49%     11.53%  
                    0-1-2345-6   45.91%     36.84%     33.99%     17.64%  
                    0-12-3-456   40.25%     36.83%     31.08%     14.19%  
                    0-12-345-6   42.77%     35.89%     30.43%     13.88%  
                    01-23-45-6   52.83%     34.65%     32.09%     15.39%  
                    01-2-3-456   45.28%     34.53%     30.33%     13.74%  
                    0-123-45-6   55.97%     34.50%     32.39%     14.85%  
                    01-2-345-6   47.80%     33.58%     29.68%     13.44%  
                    012-34-5-6   60.38%     31.72%     25.62%     7.83%   
                    0123-4-5-6   75.47%     30.75%     27.28%     5.47%   
                    01-234-5-6   56.60%     30.48%     29.58%     12.81%  
                    0-1234-5-6   63.52%     29.94%     30.04%     10.88%  
                    012-3-45-6   57.86%     29.61%     24.88%     6.12%   


                               Average F1 Score:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                    0-123-4-56   56.60%     42.56%     37.00%     20.27%  
                    01-23-4-56   53.46%     42.71%     36.70%     20.80%  
                    0-1-23-456   38.99%     40.29%     36.43%     19.68%  
                    0-1-234-56   42.77%     39.40%     35.73%     19.19%  
                    0-1-2-3456   34.59%     39.45%     34.15%     18.01%  
                    0-1-2345-6   45.91%     36.84%     33.99%     17.64%  
                    0-12-34-56   42.77%     42.24%     33.63%     17.98%  
                    01-2-34-56   47.80%     39.93%     32.88%     17.54%  
                    0-123-45-6   55.97%     34.50%     32.39%     14.85%  
                    01-23-45-6   52.83%     34.65%     32.09%     15.39%  
                    0-12-3-456   40.25%     36.83%     31.08%     14.19%  
                    0-12-345-6   42.77%     35.89%     30.43%     13.88%  
                    01-2-3-456   45.28%     34.53%     30.33%     13.74%  
                    0-1234-5-6   63.52%     29.94%     30.04%     10.88%  
                    01-2-345-6   47.80%     33.58%     29.68%     13.44%  
                    01-234-5-6   56.60%     30.48%     29.58%     12.81%  
                    012-3-4-56   58.49%     37.67%     29.49%     11.53%  
                    0123-4-5-6   75.47%     30.75%     27.28%     5.47%   
                    012-34-5-6   60.38%     31.72%     25.62%     7.83%   
                    012-3-45-6   57.86%     29.61%     24.88%     6.12%   


                   Average Matthews Correlation Coefficient:                    

                      Grouping  Overall    Average    F1 Score     MCC    
                    01-23-4-56   53.46%     42.71%     36.70%     20.80%  
                    0-123-4-56   56.60%     42.56%     37.00%     20.27%  
                    0-1-23-456   38.99%     40.29%     36.43%     19.68%  
                    0-1-234-56   42.77%     39.40%     35.73%     19.19%  
                    0-1-2-3456   34.59%     39.45%     34.15%     18.01%  
                    0-12-34-56   42.77%     42.24%     33.63%     17.98%  
                    0-1-2345-6   45.91%     36.84%     33.99%     17.64%  
                    01-2-34-56   47.80%     39.93%     32.88%     17.54%  
                    01-23-45-6   52.83%     34.65%     32.09%     15.39%  
                    0-123-45-6   55.97%     34.50%     32.39%     14.85%  
                    0-12-3-456   40.25%     36.83%     31.08%     14.19%  
                    0-12-345-6   42.77%     35.89%     30.43%     13.88%  
                    01-2-3-456   45.28%     34.53%     30.33%     13.74%  
                    01-2-345-6   47.80%     33.58%     29.68%     13.44%  
                    01-234-5-6   56.60%     30.48%     29.58%     12.81%  
                    012-3-4-56   58.49%     37.67%     29.49%     11.53%  
                    0-1234-5-6   63.52%     29.94%     30.04%     10.88%  
                    012-34-5-6   60.38%     31.72%     25.62%     7.83%   
                    012-3-45-6   57.86%     29.61%     24.88%     6.12%   
                    0123-4-5-6   75.47%     30.75%     27.28%     5.47%   
