R:A::C:P,0,1,2,3 6,4 5
0,0.12598425196850394,0.0811965811965812,0.041666666666666664,0.013297872340425532,0.030555555555555555
1,0.36220472440944884,0.43162393162393164,0.23214285714285715,0.19680851063829788,0.20833333333333334
2,0.15354330708661418,0.21367521367521367,0.24404761904761904,0.2047872340425532,0.18888888888888888
3 6,0.25984251968503935,0.20085470085470086,0.3273809523809524,0.45478723404255317,0.42777777777777776
4 5,0.0984251968503937,0.07264957264957266,0.15476190476190477,0.13031914893617022,0.14444444444444443
