R:A::C:P,0 1,2,3,4 6,5
0 1,0.8484848484848485,0.45454545454545453,0.4,0.5714285714285714,0.6666666666666666
2,0.12121212121212122,0.4090909090909091,0.3333333333333333,0.14285714285714285,0.3333333333333333
3,0.0,0.045454545454545456,0.13333333333333333,0.14285714285714285,0.0
4 6,0.015151515151515152,0.045454545454545456,0.06666666666666667,0.14285714285714285,0.0
5,0.015151515151515152,0.045454545454545456,0.06666666666666667,0.0,0.0
