R:A::C:P,0 1,2 3,4,5 6
0 1,0.8285714285714286,0.48214285714285715,0.6842105263157895,0.5
2 3,0.12857142857142856,0.4107142857142857,0.15789473684210525,0.42857142857142855
4,0.014285714285714285,0.05357142857142857,0.15789473684210525,0.0
5 6,0.02857142857142857,0.05357142857142857,0.0,0.07142857142857142
