R:A::C:P,0 3 4 6,1 2,5
0 3 4 6,0.6756756756756757,0.2702702702702703,0.05405405405405406
1 2,0.4069767441860465,0.5116279069767442,0.08139534883720931
5,0.6666666666666666,0.3333333333333333,0.0
