R:A::C:P,0 2 5 6,1 3,4
0 2 5 6,0.5909090909090909,0.27870813397129185,0.1303827751196172
1 3,0.5320910973084886,0.3333333333333333,0.13457556935817805
4,0.5342465753424658,0.2465753424657534,0.2191780821917808
