R:A::C:P,0 1,2 6,3 4 5
0 1,0.5362637362637362,0.1934065934065934,0.2703296703296703
2 6,0.26126126126126126,0.3108108108108108,0.42792792792792794
3 4 5,0.25830258302583026,0.26199261992619927,0.4797047970479705
