R:A::C:P,0,1,2 5,3,4 6
0,0.12598425196850394,0.0811965811965812,0.03550295857988166,0.016853932584269662,0.020618556701030927
1,0.36220472440944884,0.43162393162393164,0.1893491124260355,0.19101123595505617,0.23195876288659795
2 5,0.2204724409448819,0.26495726495726496,0.28994082840236685,0.3258426966292135,0.25
3,0.06692913385826772,0.04700854700854701,0.09171597633136094,0.08426966292134831,0.07216494845360824
4 6,0.22440944881889763,0.1752136752136752,0.39349112426035504,0.38202247191011235,0.4252577319587629
