R:A::C:P,0 1 2,3,4,5 6
0 1 2,0.7345132743362832,0.09734513274336283,0.08849557522123894,0.07964601769911504
3,0.2,0.4,0.2,0.2
4,0.5,0.0,0.25,0.25
5 6,0.5,0.5,0.0,0.0
