R:A::C:P,0,1 2,3 4,5 6
0,0.40476190476190477,0.1320754716981132,0.18,0.14285714285714285
1 2,0.5238095238095238,0.7735849056603774,0.6,0.7857142857142857
3 4,0.023809523809523808,0.07547169811320754,0.18,0.0
5 6,0.047619047619047616,0.018867924528301886,0.04,0.07142857142857142
