R:A::C:P,0,1 2 3,4 6,5
0,0.022988505747126436,0.020833333333333332,0.005747126436781609,0.0035919540229885057
1 2 3,0.10632183908045977,0.2478448275862069,0.13649425287356323,0.05387931034482758
4 6,0.040948275862068964,0.11853448275862069,0.11853448275862069,0.05531609195402299
5,0.01221264367816092,0.029454022988505746,0.017959770114942528,0.009339080459770116
