R:A::C:P,0,1 2 4,3 5
0,0.36363636363636365,0.18181818181818182,0.21428571428571427
1 2 4,0.6363636363636364,0.7272727272727273,0.7857142857142857
3 5,0.0,0.09090909090909091,0.0
