R:A::C:P,0 5,1,2,3 4
0 5,0.4,0.38095238095238093,0.045454545454545456,0.08333333333333333
1,0.44,0.47619047619047616,0.5,0.3333333333333333
2,0.16,0.14285714285714285,0.2727272727272727,0.5
3 4,0.0,0.0,0.18181818181818182,0.08333333333333333
