R:A::C:P,0 5,1,2,3 4
0 5,0.5,0.4,0.05,0.05
1,0.3055555555555556,0.2777777777777778,0.3055555555555556,0.1111111111111111
2,0.21052631578947367,0.15789473684210525,0.3157894736842105,0.3157894736842105
3 4,0.0,0.0,0.8,0.2
