R:A::C:P,0 5,1 3,2,4
0 5,0.5,0.45,0.05,0.0
1 3,0.28205128205128205,0.358974358974359,0.358974358974359,0.0
2,0.21052631578947367,0.47368421052631576,0.3157894736842105,0.0
4,0.0,0.0,0.5,0.5
