R:A::C:P,0,1,2,3,4,5,6,7,a2,p
0,11,20,5,2,11,4,11,9,0,1
1,15,141,37,15,24,9,117,15,0,8
2,5,78,45,5,19,4,112,5,1,1
3,1,29,12,2,4,3,48,1,0,2
4,2,16,8,3,5,1,38,0,0,0
5,3,31,11,3,4,6,36,2,0,0
6,4,134,15,1,14,1,217,3,2,0
7,1,21,0,0,0,0,6,2,0,0
a2,0,1,0,0,0,0,0,0,0,0
p,3,16,9,1,2,0,17,1,0,1
